Projekt;Type;Tegn.nr;Inst.nr;Inst.adresse;Tillad-uge;Tilladnr.;Tillad-start;Tillad-slut;Brønd 1;Brønd 2;Eks.profil;Eks.dim;Eks.mat;Eks.lng;Dybde brønd 1;Dybde brønd 2;Ny profil;Ny dim.mm;Ny lng.m;Foring IPO/IPA;Stik antal;Stik åbnet;Relining klar;Opmål.%;Forarb.%;Stikopm.%;Inst.%;Stikåbn.;Korthat;Langhat;Brøndskud;Råskud;Pkt.rep;Ny længde;Stramf. ø100 meter;Stramf. ø100 rest;Stramf. ø150 meter;Stramf. ø150 rest;Stramf. andet meter;Stramf. andet rest;Filt ø100 meter;Filt ø100 rest;Filt ø150 meter;Filt ø150 rest;Filt andet meter;Filt andet rest;Afvigelse;Stik-afvigelse;Bemærkninger
V165460;Strømpe Filt;2;13,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4621017;4621015;;300;BT;40,65;3,11;2,66;Ø;300;40,22;IPO2080;3;3;TEG;100;100;100;100;100;="3/0";="3/3";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;Skal spules godt meget papir / vand på til 40 %
V165460;Strømpe Filt;2;13,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4621015;4621014;;300;BT;60,29;2,66;2,51;Ø;300;60,66;IPO2080;4;2;TEG;100;100;100;100;100;="2/0";="2/2";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;der er målt gennem BR 4621015
V165460;Strømpe Filt;2;14,0;Herslev Kirkevej;28-2026;220260140;01-07-2026;10-07-2026;4621015;4621016;;200;BT;30,11;2,66;1,9;Ø;200;39,1;IPO2081;3;1;teg;100;100;100;100;100;="1/0";="1/1";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;
V165460;Strømpe Filt;2;15,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4621017;4621018;;600;BT;39,5;3,11;3,12;Ø;600;39,59;IPO2082;2;0;TEG;100;100;100;100;0;="2/0";="1/1";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;skal spules
V165460;Strømpe Filt;2;15,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4621018;4621019;;600;BT;39,05;3,12;2,89;Ø;600;39,09;IPO2082;3;0;TEG;100;100;100;100;0;="0/0";="0/0";="1/1";="0/0";="0/0";3;0;0;0;0;0;0;0;0;2,8;0;0;0;;;
V165460;Strømpe Filt;2;16,0;Herslev Kirkevej;28-2026;20260140;01-07-2026;10-07-2026;4621019;4621020;;200;BT;29,22;2,89;2,01;Ø;200;29,22;IPO2083;4;0;;100;0;0;0;0;="2/0";="2/2";="1/1";="0/0";="0/0";18;0;0;0;0;0;0;0;0;18,2;0;0;0;;;
V165460;Strømpe Filt;1;17,0;Kirketoften;28-2026;20260140;01-07-2026;10-07-2026;4612038;4612034;;200;BT;28,85;1,81;2,11;Ø;200;29,08;IPO2084;0;0;;100;0;0;0;0;="0/0";="0/0";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;
V165460;Strømpe Filt;1;17,0;Kirketoften;28-2026;20260140;01-07-2026;10-07-2026;4612034;4612032;;200;BT;37,61;2,11;3,66;Ø;200;38,03;IPOI2084;1;0;;100;0;0;0;0;="1/0";="1/1";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;
V165460;Strømpe Filt;1;17,0;Kirketoften;28-2026;20260140;01-07-2026;10-07-2026;4612032;4612031;;200;BT;23,31;3,66;2,32;Ø;200;22,74;IPO2084;2;0;;100;0;0;0;0;="1/0";="1/1";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;hvid og stor  50 % vand ved BR 4612032
V165460;Strømpe Filt;1;18,0;Kirketoften/Herslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4612115;4612031;;200;BT;28,65;2,3;2,77;Ø;200;28,45;IPO2085;0;0;;100;0;0;0;0;="0/0";="0/0";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;Overgang til PVC ved 22.8mtr
V165460;Strømpe Filt;1;18,0;Herslev Bygade;28-2026;20260140;01-07-2026;10-07-2026;4612031;4612030;;200;BT;35,75;3,66;2,86;Ø;200;36;IPO2085;0;0;;100;0;0;0;0;="0/0";="0/0";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;Rodklump ved 30.5mtr / skal spules godt pga grus og sten
V165460;Brøndrenov.;2;;;;;;;4621010;;;0;;0;0;0;;0;0;;0;0;;0;0;0;0;0;="0/0";="0/0";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;
V165460;Brøndrenov.;1;;Kirketoften;;;;;4612016;;;0;;0;0;0;;0;0;;0;0;;0;0;0;0;0;="0/0";="0/0";="0/0";="0/0";="0/0";0;0;0;0;0;0;0;0;0;0;0;0;0;;;
;Total pr. dim;;;;;;;;;;;;150;5,3
;Total pr. dim;;;;;;;;;;;;200;556,82
;Total pr. dim;;;;;;;;;;;;300;253,5
;Total pr. dim;;;;;;;;;;;;400;217,1
;Total pr. dim;;;;;;;;;;;;500;290,89
;Total pr. dim;;;;;;;;;;;;600;197,6
;Total pr. dim;;;;;;;;;;;;600;47,77
